iid;id;gender;idg;condtn;wave;round;position;positin1;order;partner;pid;match;int_corr;samerace;age_o;race_o;pf_o_att;pf_o_sin;pf_o_int;pf_o_fun;pf_o_amb;pf_o_sha;dec_o;attr_o;sinc_o;intel_o;fun_o;amb_o;shar_o;like_o;prob_o;met_o;age;field;field_cd;undergra;mn_sat;tuition;race;imprace;imprelig;from;zipcode;income;goal;date;go_out;career;career_c;sports;tvsports;exercise;dining;museums;art;hiking;gaming;clubbing;reading;tv;theater;movies;concerts;music;shopping;yoga;exphappy;expnum;attr1_1;sinc1_1;intel1_1;fun1_1;amb1_1;shar1_1;attr4_1;sinc4_1;intel4_1;fun4_1;amb4_1;shar4_1;attr2_1;sinc2_1;intel2_1;fun2_1;amb2_1;shar2_1;attr3_1;sinc3_1;fun3_1;intel3_1;amb3_1;attr5_1;sinc5_1;intel5_1;fun5_1;amb5_1;dec;attr;sinc;intel;fun;amb;shar;like;prob;met;match_es;attr1_s;sinc1_s;intel1_s;fun1_s;amb1_s;shar1_s;attr3_s;sinc3_s;intel3_s;fun3_s;amb3_s;satis_2;length;numdat_2;attr7_2;sinc7_2;intel7_2;fun7_2;amb7_2;shar7_2;attr1_2;sinc1_2;intel1_2;fun1_2;amb1_2;shar1_2;attr4_2;sinc4_2;intel4_2;fun4_2;amb4_2;shar4_2;attr2_2;sinc2_2;intel2_2;fun2_2;amb2_2;shar2_2;attr3_2;sinc3_2;intel3_2;fun3_2;amb3_2;attr5_2;sinc5_2;intel5_2;fun5_2;amb5_2;you_call;them_cal;date_3;numdat_3;num_in_3;attr1_3;sinc1_3;intel1_3;fun1_3;amb1_3;shar1_3;attr7_3;sinc7_3;intel7_3;fun7_3;amb7_3;shar7_3;attr4_3;sinc4_3;intel4_3;fun4_3;amb4_3;shar4_3;attr2_3;sinc2_3;intel2_3;fun2_3;amb2_3;shar2_3;attr3_3;sinc3_3;intel3_3;fun3_3;amb3_3;attr5_3;sinc5_3;intel5_3;fun5_3;amb5_3
11;1;1;2;1;1;10;5.5;0;5.5;5.5;5.5;0;0;0.6;23.6;3;19.5;12.5;20.5;20.5;8.5;8.5;0.4;5.6;8.8;8.2;5.4;6.4;4.7;6.2;5.2;1.9;27;0;8;0;0;0;2;7;3;0;0;0;1;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;2;1;4;1;1;10;5.5;0;5.5;5.5;5.5;0.2;0;0.6;23.6;3;19.5;12.5;20.5;20.5;8.5;8.5;0.4;7.1;6.6;7.1;6.7;6.9;5.5;6.9;4.2;1.5;22;0;1;0;0;0;2;1;1;0;0;0;1;1;1;0;1;9;7;9;8;7;6;3;3;5;6;6;4;7;7;9;5;5;7;20;60;0;0;40;0;0;0;0;0;0;0;0;25;15;25;20;15;0;9;9;9;10;9;0;0;0;0;0;0.3;6.2;6.7;9.1;5.9;5.7;4.7;6.9;3.5;1.7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;3;1;6;1;1;10;5.5;0;5.5;5.5;5.5;0.4;0;0.3;23.6;3;19.5;12.5;20.5;20.5;8.5;8.5;0.4;4.8;7.9;8.8;7;5.9;5.3;6.4;4.6;1.6;22;0;1;0;0;0;4;3;5;0;0;0;2;7;1;0;1;7;8;2;9;5;6;4;7;7;6;8;10;8;9;9;8;1;3;4;19;18;19;18;14;12;0;0;0;0;0;0;20;16;16;18;16;14;4;7;8;8;3;0;0;0;0;0;1;10;10;10;10;10;10;10;10;1.3;0;0;0;0;0;0;0;0;0;0;0;0;10;3;1;0;0;0;0;0;0;20;20;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;7;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;4;1;8;1;1;10;5.5;0;5.5;5.5;5.5;0.8;0;0.6;23.6;3;19.5;12.5;20.5;20.5;8.5;8.5;0.8;8.2;7.6;7.4;7.6;6.6;6.7;7.7;5.5;1.6;23;0;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;5;1;10;1;1;10;5.5;0;5.5;5.5;5.5;0.3;0;0;23.6;3;19.5;12.5;20.5;20.5;8.5;8.5;0.3;5.7;7.6;7.7;7.2;6.5;6;6.3;4.3;1.7;24;0;1;0;0;0;3;3;1;0;0;0;1;4;1;0;1;9;7;9;7;4;3;6;7;9;8;6;9;9;6;7;2;1;5;9;30;10;20;10;10;20;0;0;0;0;0;0;20;20;20;20;10;10;7;7;7;9;9;0;0;0;0;0;0.9;7.6;8.5;8.8;7.5;6.6;5.4;7.7;4.9;1.8;0;0;0;0;0;0;0;0;0;0;0;0;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;9;7;9;0;0;0;0;0;3;0;0;0;0;30;10;20;20;5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;9;7;9;0;0;0;0;0
16;6;1;12;1;1;10;5.5;0;5.5;5.5;5.5;0.2;0;0.6;23.6;3;19.5;12.5;20.5;20.5;8.5;8.5;0.3;5.6;8.4;7.6;4.4;6;4.2;5.6;3.4;2;25;0;8;0;0;0;2;9;2;0;0;0;1;5;1;0;7;7;2;6;7;7;7;5;5;5;8;3;7;8;7;8;6;1;7;10;50;0;30;10;0;10;0;0;0;0;0;0;50;5;30;5;5;5;6;6;8;8;6;0;0;0;0;0;0.8;6;7;7.2;6.9;7.1;6.8;6.4;6.1;2;3;0;0;0;0;0;0;0;0;0;0;0;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;8;8;7;0;0;0;0;0;0;0;0;0;0;50;0;20;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;8;8;8;0;0;0;0;0
17;7;1;14;1;1;10;5.5;0;5.5;5.5;5.5;0.1;0;0.6;23.6;3;19.5;12.5;20.5;20.5;8.5;8.5;0.8;6.7;7.6;8.5;6.1;6.7;6;6.9;4.9;2;30;0;13;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;8;1;16;1;1;10;5.5;0;5.5;5.5;5.5;0.1;0;0.6;23.6;3;19.5;12.5;20.5;20.5;8.5;8.5;0.3;5.1;7.4;7.7;5.2;7.5;5;5.8;5.6;1.8;27;0;8;0;0;0;2;8;8;0;0;0;1;6;1;0;7;5;5;5;9;4;3;4;4;2;6;9;3;9;3;6;2;1;5;2;0;0;0;0;0;0;0;0;0;0;0;0;10;10;20;25;25;10;6;8;6;8;9;0;0;0;0;0;0.3;6.4;6.6;6.7;6.3;6.6;5;6.7;5.1;2;2;0;0;0;0;0;0;0;0;0;0;0;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;8;6;9;0;0;0;0;0;1;0;0;0;0;35;10;15;15;15;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;8;6;9;0;0;0;0;0
19;9;1;18;1;1;10;5.5;0;5.5;5.5;5.5;0.9;0;0.6;23.6;3;19.5;12.5;20.5;20.5;8.5;8.5;0.9;7.7;6.8;7.7;8.5;7.1;7.7;7.6;6.9;2;28;0;8;0;0;0;2;1;1;0;0;0;4;1;1;0;7;10;10;10;10;5;5;6;7;9;8;1;1;7;7;7;7;10;10;20;50;0;25;10;0;15;0;0;0;0;0;0;40;15;20;10;10;5;10;6;10;10;10;0;0;0;0;0;1;7;7;7.6;8.3;7.6;7.7;6.6;7.5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;10;1;20;1;1;10;5.5;0;5.5;5.5;5.5;0.1;0;0.6;23.6;3;19.5;12.5;20.5;20.5;8.5;8.5;0.9;7.5;7.3;7.9;8.2;8.4;7.3;8.3;6.6;2;24;0;8;0;0;0;2;1;1;0;0;0;1;1;1;0;7;10;10;10;10;9;9;4;10;10;8;3;8;8;6;6;5;10;6;19;100;0;0;0;0;0;0;0;0;0;0;0;50;10;10;10;10;10;7;7;10;10;10;0;0;0;0;0;0.1;6;7.3;7.5;6.5;7.9;6.5;6.2;7.2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;1;0;1;2;2;16;5;0;8.5;8.5;47.5;0;0;0.25;25.4375;2.375;25.9375;20;22.5;18.4375;5.625;8.75;0.1875;5.0625;7.3125;7.75;5.3125;6.25;4.375;5.875;4.75;2;21;0;5;0;0;0;4;8;10;0;0;0;6;7;4;0;10;10;8;10;5;5;5;2;1;3;7;10;4;7;4;8;5;2;5;0;12;18;20;16;16;18;0;0;0;0;0;0;35;15;10;15;5;20;5;9;7;9;10;0;0;0;0;0;0.125;6.0625;7.6875;7.625;6.125;7.375;4.0625;6.5;1.6875;1.8125;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;0;0;0;0;0;0;20;15;20;15;10;20;0;0;0;0;0;0;0;0;0;0;0;0;6;9;9;7;10;0;0;0;0;0;0;0;0;0;0;15;20;20;20;10;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;9;9;7;9;0;0;0;0;0
22;2;0;3;2;2;16;7;0;8.5;8.5;47.5;0.125;0;0.125;25.4375;2.375;25.9375;20;22.5;18.4375;5.625;8.75;0.1875;4.5;6.625;6.5;5.5;5.3125;3.25;5.0625;3.5;1.875;27;0;9;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;3;0;5;2;2;16;3;0;8.5;8.5;47.5;0.1875;0;0.25;25.4375;2.375;25.9375;20;22.5;18.4375;5.625;8.75;0.375;5.9375;6.8125;6.9375;6.25;6;4;5.8125;4.4375;1.875;21;0;3;0;0;0;4;9;6;0;0;0;1;1;1;0;3;2;2;3;9;7;6;6;7;7;10;9;10;10;10;10;10;3;5;3;10;20;40;10;10;10;0;0;0;0;0;0;40;5;20;20;5;10;5;8;6;7;8;0;0;0;0;0;0.5;5.625;6.1875;6.125;5.9375;5.6875;5.75;6;5.125;1.8125;3;0;0;0;0;0;0;0;0;0;0;0;7;2;2;0;0;0;0;0;0;10;10;30;20;10;20;0;0;0;0;0;0;0;0;0;0;0;0;5;7;7;6;7;0;0;0;0;0;0;0;0;0;0;25;10;30;15;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;8;6;8;0;0;0;0;0
24;4;0;7;2;2;16;10;0;8.5;8.5;47.5;0;0;0.625;25.4375;2.375;25.9375;20;22.5;18.4375;5.625;8.75;0.5;6.5;6.5;6.875;6.625;5.875;4.625;5.375;4.25;2;27;0;11;0;0;0;2;2;3;0;0;0;2;6;4;0;9;10;1;10;9;6;6;10;6;3;6;1;6;9;8;8;6;7;5;3;10;20;20;15;20;15;0;0;0;0;0;0;35;10;15;20;10;10;7;9;9;8;8;0;0;0;0;0;0.125;6.375;6;4.1875;5.5625;4.8125;3.25;7.0625;5.75;2;1;0;0;0;0;0;0;0;0;0;0;0;3;3;2;0;0;0;0;0;0;15;15;10;25;10;25;0;0;0;0;0;0;0;0;0;0;0;0;8;9;8;9;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;5;0;9;2;2;16;12;0;8.5;8.5;47.5;0;0;0.625;25.4375;2.375;25.9375;20;22.5;18.4375;5.625;8.75;0.875;7.6875;6.8125;6.5;6.875;5.25;3.9375;6.25;4.6875;1.9375;25;0;11;0;0;0;2;10;2;0;0;0;1;5;2;0;9;7;4;7;7;6;3;5;6;8;9;9;7;10;6;8;8;4;5;4;20;20;15;15;15;15;0;0;0;0;0;0;30;15;10;20;10;15;7;9;7;8;6;0;0;0;0;0;0;6.125;7.1875;8.3125;6.625;8.8125;5.9375;6.6875;5.5;2;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;0;0;0;0;0;35;15;10;15;10;15;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;6;0;0;0;0;0;0;0;0;0;0;20;20;10;15;15;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;8;7;7;0;0;0;0;0
26;6;0;11;2;2;16;13;0;8.5;8.5;47.5;0;0;0.625;25.4375;2.375;25.9375;20;22.5;18.4375;5.625;8.75;0.9375;7.625;6.6875;6.8125;7;5.6875;5;6.5625;5.3125;2;23;0;11;0;0;0;2;2;4;0;0;0;1;5;2;0;9;9;4;9;7;7;4;6;5;7;5;3;9;9;6;4;5;1;7;10;20;20;20;15;15;10;0;0;0;0;0;0;25;10;10;25;20;10;7;8;8;8;8;0;0;0;0;0;0;4.0625;6.375;6.125;4.4375;5.875;3.625;4.1875;3.625;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
