iid;id;gender;idg;condtn;wave;round;position;positin1;order;partner;pid;match;int_corr;samerace;age_o;race_o;pf_o_att;pf_o_sin;pf_o_int;pf_o_fun;pf_o_amb;pf_o_sha;dec_o;attr_o;sinc_o;intel_o;fun_o;amb_o;shar_o;like_o;prob_o;met_o;age;field;field_cd;undergra;mn_sat;tuition;race;imprace;imprelig;from;zipcode;income;goal;date;go_out;career;career_c;sports;tvsports;exercise;dining;museums;art;hiking;gaming;clubbing;reading;tv;theater;movies;concerts;music;shopping;yoga;exphappy;expnum;attr1_1;sinc1_1;intel1_1;fun1_1;amb1_1;shar1_1;attr4_1;sinc4_1;intel4_1;fun4_1;amb4_1;shar4_1;attr2_1;sinc2_1;intel2_1;fun2_1;amb2_1;shar2_1;attr3_1;sinc3_1;fun3_1;intel3_1;amb3_1;attr5_1;sinc5_1;intel5_1;fun5_1;amb5_1;dec;attr;sinc;intel;fun;amb;shar;like;prob;met;match_es;attr1_s;sinc1_s;intel1_s;fun1_s;amb1_s;shar1_s;attr3_s;sinc3_s;intel3_s;fun3_s;amb3_s;satis_2;length;numdat_2;attr7_2;sinc7_2;intel7_2;fun7_2;amb7_2;shar7_2;attr1_2;sinc1_2;intel1_2;fun1_2;amb1_2;shar1_2;attr4_2;sinc4_2;intel4_2;fun4_2;amb4_2;shar4_2;attr2_2;sinc2_2;intel2_2;fun2_2;amb2_2;shar2_2;attr3_2;sinc3_2;intel3_2;fun3_2;amb3_2;attr5_2;sinc5_2;intel5_2;fun5_2;amb5_2;you_call;them_cal;date_3;numdat_3;num_in_3;attr1_3;sinc1_3;intel1_3;fun1_3;amb1_3;shar1_3;attr7_3;sinc7_3;intel7_3;fun7_3;amb7_3;shar7_3;attr4_3;sinc4_3;intel4_3;fun4_3;amb4_3;shar4_3;attr2_3;sinc2_3;intel2_3;fun2_3;amb2_3;shar2_3;attr3_3;sinc3_3;intel3_3;fun3_3;amb3_3;attr5_3;sinc5_3;intel5_3;fun5_3;amb5_3
11;1;1;2;1;1;10;7;0;4;1;1;0;0.14;0;21;4;15;20;20;15;15;15;1;560;880;820;540;640;470;620;520;190;27;Finance;8;0;0;0;2;7;3;Argentina;0;0;1;5;4;Academia, Research, Banking, Life;2;8;7;2;6;7;5;5;5;4;9;2;4;8;7;8;5;1;7;3;35;20;20;20;0;5;0;0;0;0;0;0;25;5;20;20;25;5;8;9;7;8;5;0;0;0;0;0;0;6;8;8;8;8;6;7;4;2;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;19.51;17.07;17.07;17.07;12.2;17.07;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;6;5;0;0;0;0;0;0;0;0;0;0;35;25;15;15;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8;7;7;5;0;0;0;0;0
12;2;1;4;1;1;10;7;0;3;1;1;0;0.54;0;21;4;15;20;20;15;15;15;1;710;660;710;670;690;550;690;420;150;22;Law;1;0;0;0;2;1;1;England;14850;29 237.00;1;1;1;Corporate Lawyer;1;9;7;9;8;7;6;3;3;5;6;6;4;7;7;9;5;5;7;20;60;0;0;40;0;0;0;0;0;0;0;0;25;15;25;20;15;0;9;9;9;10;9;0;0;0;0;0;0;7;8;10;7;7;5;8;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;3;1;6;1;1;10;7;0;10;1;1;1;0.16;1;21;4;15;20;20;15;15;15;1;480;790;880;700;590;530;640;460;160;22;Law;1;0;0;0;4;3;5;Southern California;92821;0;2;7;1;Lawyer;1;7;8;2;9;5;6;4;7;7;6;8;10;8;9;9;8;1;3;4;19;18;19;18;14;12;0;0;0;0;0;0;20;16;16;18;16;14;4;7;8;8;3;0;0;0;0;0;1;10;10;10;10;10;10;10;10;1;0;0;0;0;0;0;0;0;0;0;0;0;10;3;1;0;0;0;0;0;0;20;20;20;20;7.5;12.5;0;0;0;0;0;0;0;0;0;0;0;0;3;7;7;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;4;1;8;1;1;10;7;0;5;1;1;1;0.61;0;21;4;15;20;20;15;15;15;1;820;760;740;760;660;670;770;550;160;23;Law;1;0;0;0;2;1;1;Cincinnati, Ohio;45243;56 580.00;2;4;1;Corporate attorney;1;10;6;8;8;3;3;10;8;8;6;7;3;10;6;8;6;1;8;15;30;5;15;40;5;5;0;0;0;0;0;0;20;15;20;20;5;20;9;9;9;9;9;0;0;0;0;0;1;7;8;9;8;9;8;7;7;2;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;20;14.29;17.14;22.86;14.29;11.43;0;0;0;0;0;0;0;0;0;0;0;0;9;9;9;9;9;0;0;0;0;0;1;1;0;0;0;30;10;20;30;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;9;9;9;0;0;0;0;0
15;5;1;10;1;1;10;7;0;7;1;1;1;0.21;0;21;4;15;20;20;15;15;15;1;570;760;770;720;650;600;630;430;170;24;Law;1;0;0;0;3;3;1;Miami;33183;36 782.00;1;4;1;Lawyer;1;9;7;9;7;4;3;6;7;9;8;6;9;9;6;7;2;1;5;9;30;10;20;10;10;20;0;0;0;0;0;0;20;20;20;20;10;10;7;7;7;9;9;0;0;0;0;0;1;8;7;9;6;9;7;8;6;2;0;0;0;0;0;0;0;0;0;0;0;0;8;2;1;0;0;0;0;0;0;21.21;18.18;12.12;21.21;6.06;21.21;0;0;0;0;0;0;0;0;0;0;0;0;7;7;9;7;9;0;0;0;0;0;3;0;0;0;0;30;10;20;20;5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;9;7;9;0;0;0;0;0
16;6;1;12;1;1;10;7;0;6;1;1;0;0.25;0;21;4;15;20;20;15;15;15;0;560;840;760;440;600;420;560;340;200;25;Business;8;0;0;0;2;9;2;Milan - Italy;26900;0;1;5;1;research/financial industry;7;7;2;6;7;7;7;5;5;5;8;3;7;8;7;8;6;1;7;10;50;0;30;10;0;10;0;0;0;0;0;0;50;5;30;5;5;5;6;6;8;8;6;0;0;0;0;0;1;7;7;8;8;7;7;7;6;2;3;0;0;0;0;0;0;0;0;0;0;0;7;2;1;0;0;0;0;0;0;19.51;14.63;17.07;17.07;14.63;17.07;0;0;0;0;0;0;0;0;0;0;0;0;6;7;8;8;7;0;0;0;0;0;0;0;0;0;0;50;0;20;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;8;8;8;0;0;0;0;0
17;7;1;14;1;1;10;7;0;1;1;1;0;0.34;0;21;4;15;20;20;15;15;15;1;670;760;850;610;670;600;690;490;200;30;political science;13;0;0;0;2;1;1;Georgia, USA;30677;38 548.00;3;3;2;academics or journalism;2;8;2;9;7;7;5;4;2;6;4;2;7;9;7;7;2;2;4;2;35;15;25;10;5;10;0;0;0;0;0;0;25;20;20;20;10;5;7;7;6;8;4;0;0;0;0;0;0;3;6;7;5;8;7;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;5;3;2;0;0;0;0;0;0;30;16.67;20;20;6.67;6.67;0;0;0;0;0;0;0;0;0;0;0;0;6;7;8;5;7;0;0;0;0;0;1;1;0;0;0;40;20;25;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8;8;6;6;0;0;0;0;0
18;8;1;16;1;1;10;7;0;2;1;1;0;0.5;0;21;4;15;20;20;15;15;15;0;510;740;770;520;750;500;580;560;180;27;Business;8;0;0;0;2;8;8;New York;10028;52 010.00;1;6;1;Financial Services;7;5;5;5;9;4;3;4;4;2;6;9;3;9;3;6;2;1;5;2;33.33;11.11;11.11;11.11;11.11;22.22;0;0;0;0;0;0;10;10;20;25;25;10;6;8;6;8;9;0;0;0;0;0;0;6;7;5;6;8;6;7;5;2;2;0;0;0;0;0;0;0;0;0;0;0;5;2;1;0;0;0;0;0;0;24.39;12.2;17.07;14.63;14.63;17.07;0;0;0;0;0;0;0;0;0;0;0;0;6;8;8;6;9;0;0;0;0;0;1;0;0;0;0;35;10;15;15;15;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;8;6;9;0;0;0;0;0
19;9;1;18;1;1;10;7;0;8;1;1;1;0.28;0;21;4;15;20;20;15;15;15;1;770;680;770;850;710;770;760;690;200;28;money;8;0;0;0;2;1;1;california;2467;0;4;1;1;ceo;7;10;10;10;10;5;5;6;7;9;8;1;1;7;7;7;7;10;10;20;50;0;25;10;0;15;0;0;0;0;0;0;40;15;20;10;10;5;10;6;10;10;10;0;0;0;0;0;1;7;7;8;8;8;9;6.5;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;10;1;20;1;1;10;7;0;9;1;1;0;-0.36;0;21;4;15;20;20;15;15;15;1;750;730;790;820;840;730;830;660;200;24;Finance;8;0;0;0;2;1;1;Washington DC;3031;0;1;1;1;CEO;7;10;10;10;10;9;9;4;10;10;8;3;8;8;6;6;5;10;6;19;100;0;0;0;0;0;0;0;0;0;0;0;50;10;10;10;10;10;7;7;10;10;10;0;0;0;0;0;0;6;6;6;6;6;6;6;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;1;0;1;2;2;16;5;0;6;1;40;0;-0.23;1;25;4;25;20;25;20;10;0;0;506;731;775;531;625;438;588;475;200;21;Operations Research;5;0;0;0;4;8;10;New Jersey;7661;0;6;7;4;Undecided;10;10;8;10;5;5;5;2;1;3;7;10;4;7;4;8;5;2;5;0;12;18;20;16;16;18;0;0;0;0;0;0;35;15;10;15;5;20;5;9;7;9;10;0;0;0;0;0;0;6;8;7;9;5;7;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;0;0;0;0;0;0;20;15;20;15;10;20;0;0;0;0;0;0;0;0;0;0;0;0;6;9;9;7;10;0;0;0;0;0;0;0;0;0;0;15;20;20;20;10;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;9;9;7;9;0;0;0;0;0
22;2;0;3;2;2;16;7;0;8;1;40;0;0.29;0;25;4;25;20;25;20;10;0;0;450;663;650;550;531;325;506;350;188;27;TC (Health Ed);9;0;0;0;1;1;2;Ann Arbor, MI;48104;28 418.00;1;6;2;Informatics;5;1;2;2;8;8;8;1;2;6;8;8;8;9;7;7;8;8;4;2;20;20;20;10;10;20;0;0;0;0;0;0;50;10;10;10;10;10;7;8;7;8;7;0;0;0;0;0;0;5;7;7;6;7;5;6;4;2;2;0;0;0;0;0;0;0;0;0;0;0;6;3;3;0;0;0;0;0;0;20;20;10;20;10;20;0;0;0;0;0;0;0;0;0;0;0;0;6;7;7;7;7;0;0;0;0;0;0;0;0;0;0;15;15;20;15;15;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8;8;7;6;0;0;0;0;0
23;3;0;5;2;2;16;3;0;5;1;40;0;0.22;1;25;4;25;20;25;20;10;0;0;594;681;694;625;600;400;581;444;188;21;Psychology;3;0;0;0;4;9;6;Hong Kong;0;0;1;1;1;psychologist;3;2;2;3;9;7;6;6;7;7;10;9;10;10;10;10;10;3;5;3;10;20;40;10;10;10;0;0;0;0;0;0;40;5;20;20;5;10;5;8;6;7;8;0;0;0;0;0;1;5;7;6;6;6;7;8;6;2;3;0;0;0;0;0;0;0;0;0;0;0;7;2;2;0;0;0;0;0;0;10;10;30;20;10;20;0;0;0;0;0;0;0;0;0;0;0;0;5;7;7;6;7;0;0;0;0;0;0;0;0;0;0;25;10;30;15;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;8;6;8;0;0;0;0;0
24;4;0;7;2;2;16;10;0;11;1;40;0;-0.31;0;25;4;25;20;25;20;10;0;0;650;650;688;663;588;463;538;425;200;27;social work;11;0;0;0;2;2;3;new york;11561;43 185.00;2;6;4;health/nutrition oriented social worker;9;10;1;10;9;6;6;10;6;3;6;1;6;9;8;8;6;7;5;3;10;20;20;15;20;15;0;0;0;0;0;0;35;10;15;20;10;10;7;9;9;8;8;0;0;0;0;0;0;5;6;7;7;7;0;6;3;2;1;0;0;0;0;0;0;0;0;0;0;0;3;3;2;0;0;0;0;0;0;15;15;10;25;10;25;0;0;0;0;0;0;0;0;0;0;0;0;8;9;8;9;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;5;0;9;2;2;16;12;0;13;1;40;0;-0.12;0;25;4;25;20;25;20;10;0;0;769;681;650;688;525;394;625;469;194;25;Social Work;11;0;0;0;2;10;2;Iowa;52803;23 152.00;1;5;2;Social Worker;9;7;4;7;7;6;3;5;6;8;9;9;7;10;6;8;8;4;5;4;20;20;15;15;15;15;0;0;0;0;0;0;30;15;10;20;10;15;7;9;7;8;6;0;0;0;0;0;0;7;8;9;6;8;5;6;4;2;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;0;0;0;0;0;35;15;10;15;10;15;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;6;0;0;0;0;0;0;0;0;0;0;20;20;10;15;15;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;8;7;7;0;0;0;0;0
26;6;0;11;2;2;16;13;0;14;1;40;0;-0.38;0;25;4;25;20;25;20;10;0;0;763;669;681;700;569;500;656;531;200;23;Social Work;11;0;0;0;2;2;4;California;94596;43 664.00;1;5;2;Social work with children;9;9;4;9;7;7;4;6;5;7;5;3;9;9;6;4;5;1;7;10;20;20;20;15;15;10;0;0;0;0;0;0;25;10;10;25;20;10;7;8;8;8;8;0;0;0;0;0;0;2;5;5;3;5;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;7;0;13;2;2;16;4;0;5;1;40;0;-0.13;0;25;4;25;20;25;20;10;0;0;819;694;644;756;575;506;694;494;200;22;Speech Language Pathology;3;0;0;0;3;1;5;Westchester, NY;10523;48 441.00;1;6;2;Speech Language Pathologist;9;7;6;8;8;7;6;8;7;8;8;5;5;5;5;7;7;8;5;4;17;10;18;20;25;10;0;0;0;0;0;0;30;5;15;20;10;20;6;6;7;7;7;0;0;0;0;0;0;2;6;6;6;6;0;3;3;2;1;0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;0;0;0;0;0;20;20;15;15;15;15;0;0;0;0;0;0;0;0;0;0;0;0;6;7;5;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;8;0;15;2;2;16;1;0;3;1;40;0;0;0;25;4;25;20;25;20;10;0;0;663;744;725;638;663;494;656;506;200;26;Speech Languahe Pathology;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;6;6;5;2;2;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;9;0;17;2;2;16;9;0;10;1;40;0;0.11;0;25;4;25;20;25;20;10;0;0;575;675;613;575;613;381;594;469;175;22;Social Work;11;0;0;0;2;4;5;Washington, DC;22151;61 152.00;1;6;1;Social Work Administration;9;8;9;7;7;7;6;2;2;7;7;7;5;7;6;8;9;5;7;4;20;22;18;15;15;10;0;0;0;0;0;0;35;15;10;20;15;5;6;9;8;7;8;0;0;0;0;0;0;4;9;4;4;5;0;5;4;2;3;0;0;0;0;0;0;0;0;0;0;0;6;3;2;0;0;0;0;0;0;35;20;15;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8;6;7;7;0;0;0;0;0;0;1;0;0;0;40;20;15;15;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;7;7;7;0;0;0;0;0
